Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"A long straight conductor carrying a
current lies along the axis of a ring. The
conductor will exert a force on the ring if
the ring
A. carries a current
B. has uniformly distributed charge
C. has nonumiformly distributed charge
D. none of these",Physics,"A long straight conductor carrying a
current lies along the axis of a ring. The
conductor will exert a force on the ring if
the ring",carries a current,has uniformly distributed charge,has nonumiformly distributed charge,none of these,,Kinematics,Easy,1088,2,95,236,Hard,thermodynamics
"The distance through which a body falls
in the \( n^{t h} \) second is \( h . \) The distance
through which it falls in the next second
is
\( A \cdot h \)
B. \( h+\frac{g}{2} \)
c. \( h-g \)
D. \( h+g \)",Physics,,,,,,,Other,Unknown,1062,2,59,138,Medium,optics
"Find out the current in the circuit
shown above. (Assume the diode used
in the circuit is ideal)
A. \( 20 \mathrm{mA} \)
B. 200 mA
c. \( 0.2 \mathrm{A} \)
D. \( 40 \mathrm{A} \)",Physics,"Find out the current in the circuit
shown above. (Assume the diode used
in the circuit is ideal)",\( 20 \mathrm{mA} \),200 mA,\( 0.2 \mathrm{A} \),\( 40 \mathrm{A} \),,Electricity,Hard,1099,4,100,119,Hard,kinematics
The mass of an oxygen atom is 1600 u. Find its order of magnitude in \( \mathrm{kg} \),Physics,,,,,,,Mechanics,Medium,1048,3,70,243,Hard,kinematics
"Study of relationship between electricity and magnetism is called
A. Current electricity
B. Electric magnetism
c. Magneto electricity
D. Electromagnetism",Physics,Study of relationship between electricity and magnetism is called,Current electricity,Electric magnetism,Magneto electricity,Electromagnetism,,Electricity,Hard,1022,4,45,77,Medium,mechanics
"A hollow metal sphere of radius \( R \) is
charged with a charge \( Q . \) The electric potential and intensity inside the sphere are respectively:
A \( \cdot \frac{Q}{4 \pi \epsilon_{0} R^{2}} \) and \( \frac{Q}{4 \pi \epsilon_{0} R} \)
B. \( \frac{Q}{4 \pi \epsilon_{0} R} \) and zero
c. zero and sero
D. \( \frac{4 \pi \epsilon_{0} Q}{R} \) and \( \frac{Q}{4 \pi \epsilon_{0} R^{2}} \)",Physics,,,,,,,Electricity,Hard,1093,3,43,148,Medium,mechanics
"Find the temperature at which volume and pressure of 28 gm nitrogen gas becomes \( 10 d m^{3} \& 2.46 \) atm
respectively. (Molar mass of nitrogen
\( \operatorname{gas}=28 g / m o 1^{-1} \)",Physics,,,,,,,Mechanics,Medium,1065,1,68,153,Medium,electricity
"Which of the following statement is not
correct about two parallel conductors
carrying equal currents in the same
direction?
A. each of the conductors will experience a force
B. the two conductors will repel each other
C. there are concentric lines of force around each
conductor
D. each of the conductors will move if not prevented from doing so",Physics,"Which of the following statement is not
correct about two parallel conductors
carrying equal currents in the same
direction?",each of the conductors will experience a force,the two conductors will repel each other,"there are concentric lines of force around each
conductor",each of the conductors will move if not prevented from doing so,,Mechanics,Medium,1007,1,76,117,Hard,thermodynamics
"Which of the following thermodynamic relation is correct?
A. \( d G=V d p-S d T \)
в. \( d E=p d V+T d S \)
c. \( d H=-V d p+T d S \)
D. \( d G=V d p+S d T \)",Physics,,,,,,,Other,Unknown,1008,9,74,264,Hard,thermodynamics
"A step-up transformer of turns ratio 2
1 has \( 50 H z A C \) voltage applied to
primary. The frequency of \( A C \) output
voltage across secondary is
A. zero
B. \( 25 H z \)
\( \mathbf{c} .50 H z \)
D. \( 100 H z \)",Physics,,,,,,,Electricity,Hard,1099,6,65,290,Medium,mechanics
"The volume of a gas is 5 litres at \( \mathrm{N} \). T.P. what will be its volume at \( 273^{0} \mathrm{C} \) and at
a pressure of four atmospheres
A. 5 litres
B. 2 litres
c. 4 litres
D. 2.5 litres",Physics,"The volume of a gas is 5 litres at \( \mathrm{N} \). T.P. what will be its volume at \( 273^{0} \mathrm{C} \) and at
a pressure of four atmospheres",5 litres,2 litres,4 litres,2.5 litres,,Thermodynamics,Medium,1034,3,46,131,Medium,electricity
"If a mirror has focal length of \( +15 \mathrm{cm} \)
then it is a
A. Convex mirror
B. Concave mirror
c. Plane mirror
D. None of these",Physics,"If a mirror has focal length of \( +15 \mathrm{cm} \)
then it is a",Convex mirror,Concave mirror,Plane mirror,None of these,,Optics,Easy,1072,6,55,126,Medium,mechanics
"Suggest two methods to find out wind
direction at a give place.",Physics,,,,,,,Other,Unknown,1066,6,93,172,Hard,kinematics
"A wire of length L and Density \( \phi \) and young's modulus Y is hanging from a support .Find the elongation in the length of the wire at which wire will break:
\( \mathbf{A} \cdot \frac{L^{2} \phi g}{Y} \)
B. \( \frac{L^{2} \phi g}{2 Y} \)
\( ^{\mathrm{c}} \cdot \frac{2 L^{2} \phi g}{Y} \)
D. \( \frac{L^{2} \phi g}{4 Y} \)",Physics,,,,,,,Other,Unknown,1028,4,45,33,Medium,mechanics
Give two uses of Infrared Rays.,Physics,,,,,,,Other,Unknown,1021,1,92,238,Hard,kinematics
"What are the colours of the Sun
observed most during sunrise/sunset and noon?
A. white and red
B. reddish and orange
c. yellow and reddish
D. orange and blue",Physics,"What are the colours of the Sun
observed most during sunrise/sunset and noon?",white and red,reddish and orange,yellow and reddish,orange and blue,,Other,Unknown,1032,2,88,260,Hard,thermodynamics
"Match the items in List 1 with the items
in List 2",Physics,,,,,,,Other,Unknown,1086,7,41,181,Medium,optics
"In what cases, does a light ray not deviate at the interface of two media?",Physics,,,,,,,Optics,Easy,1062,10,34,84,Easy,optics
"Electromagnets are used in which of the following?
A. Speaker
B. Motor
c. Generator
D. All of the above",Physics,Electromagnets are used in which of the following?,Speaker,Motor,Generator,All of the above,,Other,Unknown,1058,1,27,30,Easy,other
"Two batteries of different emf and
internal resistances connected in series
with each other and with an external
load resistor. The current is 3.0 A. When
the polarity of one battery is reversed, the current becomes 1.0 A. The ratio of
the emf of the two batteries is :
A .2 .5: 1 \)
в. 2: 1
c. 3: 2
D. 1: 1",Physics,,,,,,,Electricity,Hard,1057,9,81,285,Hard,thermodynamics
"Three concentric metallic shells \( A, B \)
and \( C \) of radii \( a, b \) and \( c(a<b<c) \)
have surface charge densities, \( \sigma,-\sigma \)
and \( \sigma \) respectively. Find the potentials
of three shells \( A, B \) and \( C \).",Physics,,,,,,,Electricity,Hard,1052,2,40,79,Medium,mechanics
"Two points of a rod move with velocities
\( 3 v \& v \) perpendicular to the rod and in the same direction, separated by a distance 'r'. The angular velocity of rod is :
A \( \cdot \frac{3 v}{r} \)
в. \( \frac{4 v}{r} \)
c. \( \frac{5 v}{r} \)
D. \( \frac{2 v}{r} \)",Physics,,,,,,,Kinematics,Easy,1001,3,41,155,Medium,electricity
"The length of a strip measured with a
meter rod is \( 10.0 \mathrm{cm} \) its width measured
with a vernier caliper is \( 1.00 \mathrm{cm} . \) The least count of the meter rod is \( 0.1 \mathrm{cm} \) and that of vernier caliper caliper 0.01 \( \mathrm{cm} \) water will be error in its area?
\( \mathbf{A} \cdot \pm 13 \% \)
B. \( \pm 7 \% \)
\( c . \pm 4 \% \)
D. \( \pm 2 \% \)",Physics,,,,,,,Other,Unknown,1091,10,55,40,Medium,optics
"The difference between the electrostatic
potential of the positive end the negative end of an electric cell is the of
the cell.",Physics,,,,,,,Other,Unknown,1098,9,27,190,Easy,other
"Remote sensing satellites are placed in which of the following orbits?
A. Geo-synchronous
B. Semi-synchronous
c. Sun-synchronous
D. Sub-synchronous",Physics,Remote sensing satellites are placed in which of the following orbits?,Geo-synchronous,Semi-synchronous,Sun-synchronous,Sub-synchronous,,Other,Unknown,1083,8,48,242,Medium,electricity
"Which of the following best describe the spacing of the field lines?
A. Indicates the strength of the magnetic field
B. Is greatest near the poles
c. Is smallest far away from the poles
D. Indicates the direction of the magnetic field
E. Is the same everywhere around the magnet",Physics,Which of the following best describe the spacing of the field lines?,Indicates the strength of the magnetic field,Is greatest near the poles,Is smallest far away from the poles,"Indicates the direction of the magnetic field
E. Is the same everywhere around the magnet",,Other,Unknown,1098,2,68,213,Medium,mechanics
"The difference between I and II energy levels is
A \( \cdot 1.5 \times 10^{-18} \mathrm{J} \)
B \( .3 \times 10^{-18} J \)
c \( \cdot 6 \times 10^{-18} J \)
D. \( 12 \times 10^{-18} \mathrm{J} \)",Physics,,,,,,,Mechanics,Medium,1076,1,76,185,Hard,thermodynamics
"How can a convex lens behave like a
diverging lens.",Physics,,,,,,,Optics,Easy,1026,2,88,298,Hard,kinematics
"The diagram show the energy levels for
an electron in a certain atom. Which
transition shown represents the
emission of a photon with the most
energy?
\( A \)
B. III
\( c \)
2.",Physics,,,,,,,Mechanics,Medium,1024,3,40,95,Medium,optics
"Which of the following is the application of cryogenic techniques?
A. Many infra-red cameras require their detectors to be cryogenically cooled.
B. Certain rare blood groups are stored at low temperatures, such as 165 C
c. Experimental research on certain physics phenomena such as spintronics and magnetotransport properties
D. All of the above",Physics,Which of the following is the application of cryogenic techniques?,Many infra-red cameras require their detectors to be cryogenically cooled.,"Certain rare blood groups are stored at low temperatures, such as 165 C",Experimental research on certain physics phenomena such as spintronics and magnetotransport properties,All of the above,,Thermodynamics,Medium,1079,5,51,274,Medium,electricity
"In the process of earthing, how does charges get discharged to Earth?
A. Through some conductor
B. Directly to the Earth
c. Through transformer
D. None of the above",Physics,"In the process of earthing, how does charges get discharged to Earth?",Through some conductor,Directly to the Earth,Through transformer,None of the above,,Electricity,Hard,1019,9,88,130,Hard,thermodynamics
How is a rainbow formed?,Physics,,,,,,,Other,Unknown,1062,4,75,295,Hard,kinematics
"A transistor-oscillator using a resonant circuit with an inductor \( L \) (of negligible resistance) and a capacitor \( \mathrm{C} \) in series produce oscillations of frequency f. If is doubled and \( C \) is changed to \( 4 C \), the frequency will be:-
\( A \cdot \frac{f}{4} \)
B. 8f
\( c \cdot \frac{f}{2 \sqrt{2}} \)
\( D \cdot \frac{f}{2} \)",Physics,,,,,,,Electricity,Hard,1020,6,47,130,Medium,electricity
"Curie temperature is defined as the
temperature above which.
A. A paramagnetic material becomes ferromagnetic
B. A ferromagnetic material becomes paramagnetic
C. A ferromagnetic material becomes diamagnetic
D. A diamagnetic material becomes ferromagnetic",Physics,"Curie temperature is defined as the
temperature above which.",A paramagnetic material becomes ferromagnetic,A ferromagnetic material becomes paramagnetic,A ferromagnetic material becomes diamagnetic,A diamagnetic material becomes ferromagnetic,,Thermodynamics,Medium,1018,9,41,164,Medium,electricity
"Metals getting magnetised by orientation of atomic magnetic moments in external magnetic field are
called
A. diamagnetics
B. paramagnetics
c. ferromagnetics
D. antimagnetics",Physics,"Metals getting magnetised by orientation of atomic magnetic moments in external magnetic field are
called",diamagnetics,paramagnetics,ferromagnetics,antimagnetics,,Modern Physics,Hard,1050,5,30,140,Easy,modern physics
"f the lattice constant of this
semiconductor is decreased, then
\( \mathbf{A} \cdot \) all \( E_{c}, E_{g}, E_{v} \) increases
B. \( E_{c} \) and \( E_{v} \) increases, but \( E_{g} \) decreases
\( \mathrm{C} \cdot E_{c} \) and \( E_{v} \) decreases, but \( E_{g} \) increases.
D. all \( E_{c}, E_{g}, E_{v} \) decreases.",Physics,,,,,,,Other,Unknown,1005,2,76,193,Hard,kinematics
"If the load resistance decreases in a
zener regulator, the zener current
A. Decreases
B. Stays the same
c. Increases
D. Equals the source voltage divided by the series resistance",Physics,"If the load resistance decreases in a
zener regulator, the zener current",Decreases,Stays the same,Increases,Equals the source voltage divided by the series resistance,,Electricity,Hard,1100,5,25,185,Easy,electricity
"Draw a labelled diagram of an electric
generator",Physics,,,,,,,Other,Unknown,1062,10,42,149,Medium,mechanics
"A stretched rope having linear mass density \( 5 \times 10^{-2} k g m^{-1} \) is under a
tension of \( 80 N . \) The power that has to be supplied to the rope to generate harmonic waves at a frequency of \( 60 H z \)
and an amplitude of \( 6 \mathrm{cm} \) is
\( \mathbf{A} \cdot 215 W \)
B. \( 251 W \)
\( \mathbf{c} .512 W \)
D. \( 521 W \)",Physics,,,,,,,Mechanics,Medium,1092,5,20,132,Easy,mechanics
"A current 10 ampere is maintained in a
conductor of cross-section of \( 10^{-4} m^{2} \) if
the electron density is \( 9 \times 10^{28} m^{-2} \)
what is the drift velocity of free
electrons?",Physics,,,,,,,Kinematics,Easy,1070,10,43,257,Medium,mechanics
"A particle moves along the parabolic
path \( y=a x^{2} \) in such a way that the \( y- \)
component of the velocity remains constant, say \( c . \) The \( x \) and \( y \) coordinates
are in meters. Then acceleration of the
particle at \( \boldsymbol{x}=\mathbf{1} \boldsymbol{m} \) is:
\( \mathbf{A} \cdot a c \hat{k} \)
B \( \cdot 2 a c^{2} \hat{j} \)
c. \( -\frac{c^{2}}{4 a^{2}} \)
D. \( -\frac{c}{2 a} \hat{i} \)",Physics,,,,,,,Kinematics,Easy,1009,9,91,204,Hard,kinematics
"If the radius of gold (Au) and platinum
\( (P t) \) atoms in \( p m \) is \( 100 \sqrt{2} \) and \( 90 \sqrt{2} \)
respectively, find \( n_{A u} n_{P t} \)
A . 0.52
B. 0.68
c. 0.73
D. 0.74",Physics,,,,,,,Modern Physics,Hard,1066,6,91,204,Hard,thermodynamics
"The unit of susceptance is
\( A \cdot \) ohm
B. ohm \( ^{-1} \)
c. ohm/cm
D. ohm/m",Physics,,,,,,,Electricity,Hard,1001,7,78,71,Hard,kinematics
What are the precautions to be taken by the people who are working in radiation laboratories?,Physics,,,,,,,Mechanics,Medium,1099,2,20,98,Easy,mechanics
"The applied potential difference in the
circuit shown is \( V=10 \sin 100 t \) where
\( V \) is in volt and \( t \) is in second. If the
power factor of the circuit is \( \frac{1}{\sqrt{2}}, \) then
the value of capacitance \( C \) of the
circuit, nearly is:
A. \( 111 \mu F \)
в. \( 333 \mu F \)
c. \( 222 \mu F \)
D. \( 444 \mu F \)",Physics,"The applied potential difference in the
circuit shown is \( V=10 \sin 100 t \) where
\( V \) is in volt and \( t \) is in second. If the
power factor of the circuit is \( \frac{1}{\sqrt{2}}, \) then
the value of capacitance \( C \) of the
circuit, nearly is:","If the
power factor of the circuit is \( \frac{1}{\sqrt{2}}, \) then
the value of capacitance \( C \) of the
circuit, nearly is:","\( 111 \mu F \)
в. \( 333 \mu F \)",\( 222 \mu F \),\( 444 \mu F \),,Mechanics,Medium,1095,10,81,207,Hard,thermodynamics
"At very close point on the axis of a current carrying circular coil ( \( \boldsymbol{x}<<< \)
\( R \) ) of radius \( ^{\prime} R^{\prime}, \) the value of magnetic
field decreases by a fraction of \( 5 \% \) with respect to centre value. The position of the point from the centre of the coil is :-
A \( \cdot \frac{R}{\sqrt{10}} \)
в. \( \frac{R}{\sqrt{30}} \)
c. \( \frac{R}{\sqrt{50}} \)
D. \( \frac{R}{\sqrt{150}} \)",Physics,,,,,,,Electricity,Hard,1024,9,79,167,Hard,kinematics
"Find the value of an inductance which
should be connected in series with a
capacitor of \( 5 \mu F, \) a resistance of \( 10 \Omega \)
and an ac source of \( 50 H z \) so that the
power factor of the circuit is unity.
A \( \cdot \frac{20}{\pi^{4}} \)
в. \( \frac{20}{\pi^{2}} \)
c. \( \frac{20}{\pi^{3}} \)
D. \( \frac{20}{\pi^{5}} \)",Physics,,,,,,,Mechanics,Medium,1062,3,23,255,Easy,mechanics
"Two plane mirrors are inclined at \( 70^{0} . \) A
ray incident on one mirror at an angle \( \theta \) after reflection falls on the second
mirror and is reflected from there
parallel to the first mirror \( \boldsymbol{\theta} \) is
A \( .50^{\circ} \)
В . \( 45^{\circ} \)
\( c \cdot 30^{0} \)
D. 55",Physics,,,,,,,Optics,Easy,1053,10,68,224,Medium,mechanics
"State whether given statement is True or False

The sum of all the voltage drops around a single closed loop in a circuit is zero.
A. True
B. False",Physics,,,,,,,Electricity,Hard,1043,5,77,285,Hard,thermodynamics
"The electric potential at a point in free
space due to a charge \( Q \) coulomb is \( Q \times 10^{11} V . \) The electric field at that
point is
A \( \cdot 12 \pi \varepsilon_{0} Q \times 10^{22} V m^{-1} \)
B . \( 4 \pi \varepsilon_{0} Q \times 10^{22} V m^{-1} \)
C \( .12 \pi \varepsilon_{0} Q \times 10^{20} \mathrm{Vm}^{-1} \)
D. \( 4 \pi \varepsilon_{0} Q \times 10^{20} V m^{-1} \)",Physics,,,,,,,Electricity,Hard,1054,2,40,224,Medium,mechanics
"A plano-convex lens (focal length \( f_{2} \)
refractive index \( \mu_{2} \), radius of curvature
\( R \) ) fits exactly into a plano-concave lens
(focal length \( f_{1} \), refractive index \( \mu_{1} \) radius of curvature \( \boldsymbol{R} \) ). Their plane
surfaces are parallel to each other. Then, the focal length of the combination will be :
A \( . f_{1}-f_{2} \)
в. \( f_{1}+f_{2} \)
c. \( \frac{R}{\mu_{2}-\mu_{1}} \)
D. \( \frac{2 f_{1} f_{2}}{f_{1}+f_{2}} \)",Physics,,,,,,,Optics,Easy,1073,6,35,274,Easy,optics
"The missing particle in the reaction:
\( \underset{99}{253} \boldsymbol{E} \boldsymbol{s}+_{2}^{4} \boldsymbol{H} \boldsymbol{e} \rightarrow_{101}^{256} \boldsymbol{M} \boldsymbol{d}+ \)
A. deuteron
B. proton
c. neutron
D. \( \beta \) - particle",Physics,"The missing particle in the reaction:
\( \underset{99}{253} \boldsymbol{E} \boldsymbol{s}+_{2}^{4} \boldsymbol{H} \boldsymbol{e} \rightarrow_{101}^{256} \boldsymbol{M} \boldsymbol{d}+ \)",deuteron,proton,neutron,\( \beta \) - particle,,Other,Unknown,1028,5,89,52,Hard,thermodynamics
"A ball of mass \( 5 k g \) is suspended from a
chord of length \( l=0.5 m \) is attached to
a cart \( A \) of mass \( 2.5 k g \), which slides
freely on a frictionless horizontal track
as shown in figure. The ball given an initial horizontal velocity 1 m / \( s \) relative to the ground while the cart is at rest.
Find
(a) The velocity of the ball when string makes minimum angle with vertical
(b) The maximum vertical distance
through which the ball will rise.",Physics,,,,,,,Kinematics,Easy,1057,8,82,78,Hard,thermodynamics
"\( A B C \) is a frictionless circular track of
radius \( R \). A particle of mass \( m \) kg is
released from point \( \boldsymbol{P}(\boldsymbol{O P}=\boldsymbol{R} / \mathbf{2}) \)
After collision with the track, particle moves along the track, then coefficient
of restitution is
A . 0.5
B. 0.3
\( c .0 .2 \)
D. non",Physics,,,,,,,Kinematics,Easy,1086,10,22,134,Easy,kinematics
"For periodic motion of small amplitude
\( A, \) the time period \( T \) of this particle is
proportional to
\( \mathbf{A} \cdot A \sqrt{\frac{m}{\alpha}} \)
B. \( \frac{1}{A} \sqrt{\frac{m}{\alpha}} \)
c. \( A \sqrt{\frac{\alpha}{m}} \)
D. \( A \sqrt{\frac{2 \alpha}{m}} \)",Physics,,,,,,,Kinematics,Easy,1079,6,46,296,Medium,mechanics
"An ideal battery of \( 4 V \) and resistance \( R \) are connected in series in the primary
circuit of a potentiometer of length \( 1 \boldsymbol{m} \) and resistance \( 5 \Omega . \) The value of \( R, \) to
given a potential difference of \( 5 m V \)
\( \operatorname{across} 10 c m \) of potentiometer wire is:
\( \mathbf{A} \cdot 490 \Omega \)
в. \( 480 \Omega \)
c. \( 395 \Omega \)
D. \( 495 \Omega \)",Physics,,,,,,,Electricity,Hard,1016,6,64,223,Medium,optics
"Assuming that about 20 MeV of energy is released per fusion reaction \( _{1} H^{2}+1 \)
\( \boldsymbol{H}^{2} \rightarrow_{2} \boldsymbol{H} \boldsymbol{e}^{4}+\boldsymbol{E}+ \) other particles, then
the mass of \( _{1} H^{2} \) consumed per day in a
fusion reactor of power 1 megawatt will approximately be
A . \( 0.001 \mathrm{g} \)
B. 18
c. \( 10.0 \mathrm{g} \)
D. 1000",Physics,,,,,,,Mechanics,Medium,1085,4,44,32,Medium,mechanics
"Thickness of mantle of Earth is
approximately:
\( A \cdot 4,000 \mathrm{km} \)
B. 3,500 km
c. \( 3,200 \mathrm{km} \)
D. \( 2,890 \mathrm{km} \)",Physics,,,,,,,Other,Unknown,1092,4,95,156,Hard,thermodynamics
"If \( |\vec{A}|=|\vec{B}|, \) then what is the angle between \( \vec{A}+\vec{B} \) and \( \vec{A}-\vec{B} \)
A \( \cdot 90^{\circ} \)
B. 60
\( c .30 \)
D. 0",Physics,,,,,,,Other,Unknown,1065,7,62,229,Medium,electricity
"What was the average speed of the cyclist for the past hour when he travels at a constant \( 25 k m / h r \) for 30 minutes,
coasts for 15 minutes at a constant
\( 20 \mathrm{km} / \mathrm{hr} \) and then pedals at a
constant \( 40 \mathrm{km} / \mathrm{hr} \) for another 15
minutes?
A. \( 27.5 \mathrm{km} / \mathrm{hr} \)
B. \( 25 \mathrm{km} / \mathrm{hr} \)
c. \( 22.5 \mathrm{km} / \mathrm{hr} \)
D. \( 30 \mathrm{km} / \mathrm{hr} \)
E . \( 32.5 \mathrm{km} / \mathrm{hr} \)",Physics,"What was the average speed of the cyclist for the past hour when he travels at a constant \( 25 k m / h r \) for 30 minutes,
coasts for 15 minutes at a constant
\( 20 \mathrm{km} / \mathrm{hr} \) and then pedals at a
constant \( 40 \mathrm{km} / \mathrm{hr} \) for another 15
minutes?",\( 27.5 \mathrm{km} / \mathrm{hr} \),\( 25 \mathrm{km} / \mathrm{hr} \),\( 22.5 \mathrm{km} / \mathrm{hr} \),"\( 30 \mathrm{km} / \mathrm{hr} \)
E . \( 32.5 \mathrm{km} / \mathrm{hr} \)",,Other,Unknown,1080,3,54,63,Medium,electricity
\( \underbrace{\left[x_{i}^{-}\right]} \),Physics,,,,,,,Other,Unknown,1073,3,24,134,Easy,other
"What is the half life of a radioactive
substance if it has a count rate of 500
counts/sec and 62.5 counts/sec two
hours later?
A . 10 min
B. 20 min
c. 30 min
D. 40 min
E. 50 min",Physics,,,,,,,Other,Unknown,1044,1,87,175,Hard,thermodynamics
"The upper portion of an inclined plane of
inclination \( \alpha \) is smooth and the lower
portion is rough. A particle slides down
from rest from the top and just comes to rest at the foot. If the ratio of smooth
Iength to rough length is \( m: n \), find the
coefficient of friction.
A \( \cdot \mu=\left(\frac{m-n}{n}\right) \tan \alpha \)
B \( \cdot \mu=\left(\frac{m+n}{m}\right) \tan \alpha \)
\( \mathbf{c} \cdot_{\mu}=\left(\frac{m-n}{m}\right) \tan \alpha \)
D. \( \mu=\left(\frac{m+n}{n}\right) \tan \alpha \)",Physics,,,,,,,Kinematics,Easy,1093,1,68,156,Medium,electricity
"Mark the correct options:
A. The total charge of the universe is constant.
B. The total positive charge of the universe is constant.
C. The total negative charge of the universe is constant.
D. The total number of charged particles in the universe is constant.",Physics,Mark the correct options:,The total charge of the universe is constant.,The total positive charge of the universe is constant.,The total negative charge of the universe is constant.,The total number of charged particles in the universe is constant.,,Electricity,Hard,1046,4,39,167,Easy,electricity
"If the gas 'X' behaves ideally, then the
pressure \( P \) of \( \operatorname{gas} \) at \( 27^{\circ} C \) is :
\( \mathbf{A} \cdot 12.32 \mathrm{atm} \)
B. 24.63 atm
c. 1 atm
D. 6.15 atm",Physics,,,,,,,Thermodynamics,Medium,1002,9,85,72,Hard,kinematics
"A black body has a wavelength of \( \lambda \) at
temperature \( 2000 K . \) Its corresponding
wavelength at temperature \( 3000 K \) will
be:
A \( \cdot \frac{2 \lambda}{3} \)
в. \( \frac{3 \lambda}{2} \)
c. \( \frac{4 \lambda}{9} \)
D. \( \frac{9 \lambda}{4} \)",Physics,,,,,,,Thermodynamics,Medium,1033,6,97,210,Hard,thermodynamics
"Two batteries, one of emf 18 volts and
internal resistance \( 2 \Omega \) and the other of emf 12 volt and internal resistance 1\Omega,
are connected as shown.The voltmeter
will record a reading of:
A . 18 volt
B. 30 volt
c. 14 volt
D. 15 volt",Physics,,,,,,,Electricity,Hard,1021,7,79,82,Hard,thermodynamics
"n identical cells are joined in series with its two cells \( A \) and \( B \) in the loop with reversed polarities. EMF of each shell is \( \mathrm{E} \) and internal
resistance r. Potential difference across
cell \( A \) or \( B \) is:
A \( \cdot \frac{2 E}{n} \)
В \( \cdot 2 E \mid 1-\frac{1}{n} \)
c. \( \frac{4 E}{n} \)
D. \( 2 E \mid 1-\frac{2}{n} \)",Physics,,,,,,,Electricity,Hard,1089,7,48,60,Medium,mechanics
"In the arrangement shown in figure,
dielectric constant \( k_{1}=2 \) and \( K_{2}=3 . \) If
the capacitance across \( \mathrm{P} \) and \( \mathrm{Q} \) are \( C_{1} \) and \( C_{2} \) respectively, then \( \frac{C_{1}}{C_{2}} \) will be (the gaps shown are negligible)
A . 1:
B. 2:
\( c .9: 5 \)
D. 25: 24",Physics,,,,,,,Other,Unknown,1079,5,21,288,Easy,other
"\( R \)
\( -\square-(A) \)
\begin{tabular}{l}
\( ^{R} \) \\
\hline\( (D \) \\
\( Q \) \\
\( \sqrt{ } \)
\end{tabular}
\begin{tabular}{l}
\( n \) \\
\hline
\end{tabular}",Physics,,,,,,,Other,Unknown,1043,3,29,66,Easy,other
"Name any one instrument which works
on the principle of tangent law in magnetism",Physics,,,,,,,Mechanics,Medium,1081,10,36,122,Easy,mechanics
"The amount of work done by the gas system in increasing the volume of 10 mols of an ideal gas from one litre to 20
litres at \( 0^{0} \) C will be
A . zero
B. 3.49 Joule
c. \( 3.49 \times 10^{4} \)
D. 6.79 \( \times 10^{4} \) Joule",Physics,,,,,,,Mechanics,Medium,1048,10,99,32,Hard,thermodynamics
"A hammer exerts a force of 1.5 N on each
of the two nails \( A \) and \( B \). The area of
cross section of tip of nail is \( 2 m m^{2} \)
while that of nail \( \mathrm{B} \) is \( 6 \mathrm{mm}^{2} \). Calculate
pressure on each nail in pascal.",Physics,,,,,,,Mechanics,Medium,1015,9,85,55,Hard,kinematics
"A body moves with uniform velocity of \( \boldsymbol{u}=\mathbf{7} \boldsymbol{m} / \boldsymbol{s} \) from \( \boldsymbol{t}=\mathbf{0} \boldsymbol{t o} \boldsymbol{t}=\mathbf{1 . 5 s} . \) It
starts moving with an acceleration of
\( 10 m / s^{2} . \) The distance between \( t= \)
\( \mathbf{0} \) to \( \boldsymbol{t}=\mathbf{3} \boldsymbol{s} \) will be:
A. \( 47.75 \mathrm{m} \)
B. 32.25 m
\( c \cdot 16.75 \mathrm{m} \)
D. 27.50 \( \mathrm{m} \)",Physics,,,,,,,Kinematics,Easy,1006,4,66,266,Medium,optics
"If \( h \) is Plancks constant, the
momentum of a photon of wavelength
\( 0.01 A^{\circ} \) is
\( \mathbf{A} \cdot 10^{-2} h \)
B. \( h \)
\( c \cdot 10^{2} \)
D. \( 10^{12} h \)",Physics,,,,,,,Mechanics,Medium,1001,4,79,208,Hard,thermodynamics
"Lenz's law is a consequence of the law of conservation of
A. charge
B. mass
c. energy
D. momentum",Physics,Lenz's law is a consequence of the law of conservation of,charge,mass,energy,momentum,,Mechanics,Medium,1048,3,71,128,Hard,thermodynamics
"How much time will have elapsed?
A \( .1 .42 \times 10^{-8} \mathrm{s} \)
B . \( 2.84 \times 10^{-8} \mathrm{s} \)
c. \( 3.84 \times 10^{-8} \mathrm{s} \)
D. \( 5.68 \times 10^{-8} \mathrm{s} \)",Physics,,,,,,,Other,Unknown,1002,5,93,101,Hard,kinematics
"A uniform disc of mass M and radius R
is mounted on an axle supported in friction less bearings. A light cord is wrapped around the rim of the disc and a steady downward pull T is exerted on the cord. The angular acceleration of the disc is:
\( ^{A} \cdot \frac{M R}{2 T} \)
в. \( \frac{2 T}{M R} \)
c. \( \frac{T}{M R} \)
D. \( \frac{M R}{T} \)",Physics,,,,,,,Kinematics,Easy,1075,7,44,65,Medium,mechanics
"How much the surface of earth does the
acceleration due to gravity reduce by \( 36 \% \) of its value on the surface of earth?
Radius of earth \( =\mathbf{6 4 0 0 k m} \)",Physics,,,,,,,Kinematics,Easy,1066,6,81,225,Hard,kinematics
